"dtm","co2, ppm","pm1, μg/m³","pm4, μg/m³","pm10, μg/m³","pm25, μg/m³","voc, ppm","ch2o, ppm","noise, db","light, lux","temperature, °C","humidity, %","abs_humidity, g/m³","pressure, mbar","vocindex","noxindex","avti","eiaqi","tci","iaqi"
31-Oct-2024 00:00:00-04:00,439,4.8,5.1,5.1,5.1,0.09,0.0,46,0,21.29,70.69,13,992.62,100,1,1,49,49,80
31-Oct-2024 00:01:00-04:00,439,4.3,4.5,4.5,4.5,0.09,0.0,45,0,21.34,70.53,13,992.63,100,1,1,50,50,80
31-Oct-2024 00:02:00-04:00,440,4.4,4.7,4.7,4.7,0.09,0.0,46,0,21.39,70.32,13,992.61,100,1,1,50,50,80
31-Oct-2024 00:03:00-04:00,442,4.3,4.5,4.5,4.5,0.09,0.0,46,0,21.43,70.19,13,992.59,101,1,1,50,50,80
31-Oct-2024 00:04:00-04:00,441,4.6,4.9,4.9,4.9,0.09,0.0,47,0,21.47,70.09,13,992.59,101,1,1,51,51,80
31-Oct-2024 00:05:00-04:00,441,4.2,4.4,4.4,4.4,0.09,0.0,46,0,21.5,69.92,13,992.6,102,1,1,51,51,80
31-Oct-2024 00:06:00-04:00,440,4.5,4.7,4.7,4.7,0.09,0.0,46,0,21.53,69.76,13,992.58,103,1,1,51,51,80
31-Oct-2024 00:07:00-04:00,438,4.3,4.5,4.5,4.5,0.1,0.0,46,0,21.56,69.57,13,992.55,104,1,1,52,52,79
31-Oct-2024 00:08:00-04:00,437,4.9,5.2,5.2,5.2,0.1,0.0,46,0,21.58,69.41,13,992.57,106,1,1,52,52,79
31-Oct-2024 00:09:00-04:00,440,4.9,5.2,5.2,5.2,0.1,0.0,47,0,21.61,69.27,13,992.58,108,1,1,52,52,79
31-Oct-2024 00:10:00-04:00,439,4.5,4.8,4.8,4.8,0.1,0.0,46,0,21.63,69.13,13,992.58,109,1,1,52,52,79
31-Oct-2024 00:11:00-04:00,441,4.0,4.2,4.2,4.2,0.1,0.0,46,0,21.65,68.98,13,992.56,111,1,1,53,53,79
31-Oct-2024 00:12:00-04:00,442,4.6,4.9,4.9,4.9,0.1,0.0,46,0,21.67,68.88,13,992.56,112,1,1,53,53,79
31-Oct-2024 00:13:00-04:00,441,4.5,4.8,4.8,4.8,0.11,0.0,46,0,21.69,68.81,13,992.56,114,1,1,53,53,78
31-Oct-2024 00:14:00-04:00,441,4.4,4.7,4.7,4.7,0.11,0.0,46,0,21.7,68.79,13,992.57,116,1,1,53,53,78
31-Oct-2024 00:15:00-04:00,440,5.0,5.3,5.3,5.3,0.11,0.0,46,0,21.71,68.71,13,992.54,117,1,1,53,53,78
31-Oct-2024 00:16:00-04:00,438,5.3,5.6,5.6,5.6,0.11,0.0,46,0,21.72,68.63,13,992.56,119,1,1,53,53,78
31-Oct-2024 00:17:00-04:00,437,4.6,4.9,4.9,4.9,0.11,0.0,46,0,21.72,68.58,13,992.55,120,1,1,53,53,78
31-Oct-2024 00:18:00-04:00,438,4.7,4.9,4.9,4.9,0.11,0.0,46,0,21.73,68.55,13,992.57,120,1,1,53,53,78
31-Oct-2024 00:19:00-04:00,439,4.4,4.7,4.7,4.7,0.11,0.0,46,0,21.75,68.43,13,992.57,122,1,1,54,54,78
31-Oct-2024 00:20:00-04:00,438,4.6,4.8,4.8,4.8,0.12,0.0,46,0,21.76,68.35,13,992.58,124,1,1,54,54,76
31-Oct-2024 00:21:00-04:00,439,4.6,4.9,4.9,4.9,0.12,0.0,46,0,21.76,68.3,13,992.56,126,1,1,54,54,76
31-Oct-2024 00:22:00-04:00,439,4.3,4.6,4.6,4.6,0.12,0.0,46,0,21.75,68.3,13,992.54,126,1,1,54,54,76
31-Oct-2024 00:23:00-04:00,439,4.4,4.7,4.7,4.7,0.12,0.0,46,0,21.75,68.32,13,992.55,125,1,1,54,54,76
31-Oct-2024 00:24:00-04:00,438,4.7,4.9,4.9,4.9,0.12,0.0,47,0,21.76,68.23,13,992.54,126,1,1,54,54,76
31-Oct-2024 00:25:00-04:00,437,5.0,5.3,5.3,5.3,0.12,0.0,46,0,21.77,68.12,13,992.54,129,1,1,54,54,76
31-Oct-2024 00:26:00-04:00,437,4.4,4.7,4.7,4.7,0.12,0.0,46,0,21.78,68.1,13,992.53,131,1,1,54,54,76
31-Oct-2024 00:27:00-04:00,438,4.3,4.5,4.5,4.5,0.12,0.0,46,0,21.79,68.05,13,992.52,132,1,1,54,54,76
31-Oct-2024 00:28:00-04:00,438,4.6,4.9,4.9,4.9,0.12,0.0,46,0,21.8,67.98,13,992.54,133,1,1,55,55,76
31-Oct-2024 00:29:00-04:00,437,4.1,4.4,4.4,4.4,0.13,0.0,45,0,21.8,67.94,13,992.52,134,1,1,55,55,75
31-Oct-2024 00:30:00-04:00,436,4.2,4.4,4.4,4.4,0.13,0.0,45,0,21.8,67.95,13,992.52,135,1,1,55,55,75
31-Oct-2024 00:31:00-04:00,435,4.3,4.6,4.6,4.6,0.13,0.0,46,0,21.81,67.86,13,992.52,135,1,1,55,55,75
31-Oct-2024 00:32:00-04:00,434,4.8,5.1,5.1,5.1,0.13,0.0,46,0,21.82,67.79,13,992.56,137,1,1,55,55,75
31-Oct-2024 00:33:00-04:00,437,4.4,4.7,4.7,4.7,0.13,0.0,46,0,21.83,67.7,12,992.59,139,1,1,55,55,75
31-Oct-2024 00:34:00-04:00,440,4.3,4.6,4.6,4.6,0.13,0.0,46,0,21.83,67.74,13,992.57,140,1,1,55,55,75
31-Oct-2024 00:35:00-04:00,441,4.7,5.0,5.0,5.0,0.13,0.0,45,0,21.84,67.67,12,992.59,141,1,1,55,55,75
31-Oct-2024 00:36:00-04:00,438,4.1,4.4,4.4,4.4,0.14,0.0,46,0,21.85,67.61,12,992.6,142,1,1,55,55,74
31-Oct-2024 00:37:00-04:00,439,4.5,4.8,4.8,4.8,0.14,0.0,46,0,21.86,67.54,12,992.58,143,1,1,55,55,74
31-Oct-2024 00:38:00-04:00,439,4.6,4.8,4.8,4.8,0.14,0.0,46,0,21.87,67.51,12,992.57,144,1,1,55,55,74
31-Oct-2024 00:39:00-04:00,438,4.3,4.6,4.6,4.6,0.14,0.0,46,0,21.87,67.46,12,992.57,144,1,1,56,56,74
31-Oct-2024 00:40:00-04:00,436,4.6,4.8,4.8,4.8,0.14,0.0,46,0,21.88,67.44,12,992.59,146,1,1,56,56,74
31-Oct-2024 00:41:00-04:00,437,4.4,4.6,4.6,4.6,0.14,0.0,46,0,21.88,67.42,12,992.56,147,1,1,56,56,74
31-Oct-2024 00:42:00-04:00,439,4.4,4.6,4.6,4.6,0.14,0.0,46,0,21.89,67.4,12,992.55,147,1,1,56,56,74
31-Oct-2024 00:43:00-04:00,440,5.0,5.3,5.3,5.3,0.14,0.0,46,0,21.9,67.3,12,992.55,149,1,1,56,56,74
31-Oct-2024 00:44:00-04:00,439,4.3,4.6,4.6,4.6,0.14,0.0,47,0,21.9,67.32,12,992.51,149,1,1,56,56,74
31-Oct-2024 00:45:00-04:00,438,4.4,4.7,4.7,4.7,0.14,0.0,46,0,21.89,67.31,12,992.52,150,1,1,56,56,74
31-Oct-2024 00:46:00-04:00,440,3.9,4.1,4.1,4.1,0.14,0.0,46,0,21.89,67.37,12,992.51,150,1,1,56,56,74
31-Oct-2024 00:47:00-04:00,438,4.1,4.3,4.3,4.3,0.14,0.0,47,0,21.9,67.36,12,992.51,151,1,1,56,56,74
31-Oct-2024 00:48:00-04:00,438,4.1,4.4,4.4,4.4,0.15,0.0,46,0,21.9,67.4,12,992.51,153,1,1,56,56,73
31-Oct-2024 00:49:00-04:00,439,4.1,4.3,4.3,4.3,0.15,0.0,46,0,21.9,67.43,12,992.48,153,1,1,56,56,73
31-Oct-2024 00:50:00-04:00,439,4.2,4.5,4.5,4.5,0.15,0.0,46,0,21.89,67.46,12,992.48,154,1,1,56,56,73
31-Oct-2024 00:51:00-04:00,439,4.2,4.4,4.4,4.4,0.15,0.0,46,0,21.9,67.45,12,992.5,154,1,1,56,56,73
31-Oct-2024 00:52:00-04:00,440,4.3,4.6,4.6,4.6,0.15,0.0,46,0,21.9,67.45,12,992.49,155,1,1,56,56,73
31-Oct-2024 00:53:00-04:00,440,4.5,4.8,4.8,4.8,0.15,0.0,46,0,21.91,67.41,12,992.5,156,1,1,56,56,73
31-Oct-2024 00:54:00-04:00,438,4.0,4.2,4.2,4.2,0.15,0.0,46,0,21.91,67.4,12,992.49,157,1,1,56,56,73
31-Oct-2024 00:55:00-04:00,438,4.0,4.2,4.2,4.2,0.15,0.0,46,0,21.91,67.36,12,992.51,159,1,1,56,56,73
31-Oct-2024 00:56:00-04:00,436,4.1,4.3,4.3,4.3,0.15,0.0,46,0,21.91,67.41,12,992.51,160,1,1,56,56,73
31-Oct-2024 00:57:00-04:00,435,4.1,4.4,4.4,4.4,0.16,0.0,46,0,21.91,67.38,12,992.49,160,1,1,56,56,72
31-Oct-2024 00:58:00-04:00,435,3.9,4.2,4.2,4.2,0.16,0.0,46,0,21.91,67.35,12,992.5,162,1,1,56,56,72
31-Oct-2024 00:59:00-04:00,440,4.2,4.4,4.4,4.4,0.16,0.0,46,0,21.91,67.36,12,992.49,163,1,1,56,56,72
31-Oct-2024 01:00:00-04:00,441,3.9,4.1,4.1,4.1,0.16,0.0,46,0,21.91,67.39,12,992.48,164,1,1,56,56,72
31-Oct-2024 01:01:00-04:00,440,4.4,4.7,4.7,4.7,0.16,0.0,46,0,21.92,67.41,12,992.48,164,1,1,56,56,72
31-Oct-2024 01:02:00-04:00,441,4.1,4.3,4.3,4.3,0.16,0.0,46,0,21.91,67.42,12,992.47,164,1,1,56,56,72
31-Oct-2024 01:03:00-04:00,438,4.0,4.3,4.3,4.3,0.16,0.0,46,0,21.91,67.36,12,992.48,164,1,1,56,56,72
31-Oct-2024 01:04:00-04:00,437,4.0,4.2,4.2,4.2,0.16,0.0,46,0,21.91,67.36,12,992.49,165,1,1,56,56,72
31-Oct-2024 01:05:00-04:00,436,4.0,4.2,4.2,4.2,0.16,0.0,46,0,21.91,67.4,12,992.5,165,1,1,56,56,72
31-Oct-2024 01:06:00-04:00,437,3.9,4.1,4.1,4.1,0.16,0.0,46,0,21.92,67.37,12,992.48,166,1,1,56,56,72
31-Oct-2024 01:07:00-04:00,437,4.4,4.6,4.6,4.6,0.16,0.0,46,0,21.93,67.34,12,992.47,166,1,1,56,56,72
31-Oct-2024 01:08:00-04:00,437,4.3,4.5,4.5,4.5,0.16,0.0,46,0,21.93,67.31,12,992.46,167,1,1,56,56,72
31-Oct-2024 01:09:00-04:00,438,4.1,4.3,4.3,4.3,0.16,0.0,46,0,21.94,67.3,12,992.46,167,1,1,56,56,72
31-Oct-2024 01:10:00-04:00,438,4.1,4.3,4.3,4.3,0.16,0.0,46,0,21.95,67.26,12,992.43,168,1,1,56,56,72
31-Oct-2024 01:11:00-04:00,439,3.9,4.2,4.2,4.2,0.16,0.0,46,0,21.96,67.24,12,992.45,169,1,1,56,56,72
31-Oct-2024 01:12:00-04:00,437,4.0,4.2,4.2,4.2,0.17,0.0,46,0,21.96,67.23,13,992.43,169,1,1,56,56,71
31-Oct-2024 01:13:00-04:00,437,3.6,3.9,3.9,3.9,0.17,0.0,46,0,21.96,67.21,13,992.44,170,1,1,56,56,71
31-Oct-2024 01:14:00-04:00,437,3.8,4.0,4.0,4.0,0.17,0.0,46,0,21.96,67.24,12,992.44,170,1,1,56,56,71
31-Oct-2024 01:15:00-04:00,440,3.7,4.0,4.0,4.0,0.17,0.0,47,0,21.96,67.23,13,992.4,170,1,1,56,56,71
31-Oct-2024 01:16:00-04:00,442,3.6,3.8,3.8,3.8,0.17,0.0,46,0,21.96,67.2,12,992.39,171,1,1,56,56,71
31-Oct-2024 01:17:00-04:00,441,4.2,4.5,4.5,4.5,0.17,0.0,46,0,21.96,67.2,12,992.36,171,1,1,56,56,71
31-Oct-2024 01:18:00-04:00,438,3.8,4.0,4.0,4.0,0.17,0.0,46,0,21.96,67.18,12,992.38,171,1,1,56,56,71
31-Oct-2024 01:19:00-04:00,437,3.8,4.0,4.0,4.0,0.17,0.0,47,0,21.96,67.17,12,992.39,172,1,1,56,56,71
31-Oct-2024 01:20:00-04:00,440,3.4,3.6,3.6,3.6,0.17,0.0,47,0,21.95,67.19,12,992.41,173,1,1,56,56,71
31-Oct-2024 01:21:00-04:00,439,3.6,3.8,3.8,3.8,0.17,0.0,48,0,21.94,67.23,12,992.42,173,1,1,56,56,71
31-Oct-2024 01:22:00-04:00,441,4.0,4.2,4.2,4.2,0.17,0.0,47,0,21.93,67.19,12,992.4,174,1,1,56,56,71
31-Oct-2024 01:23:00-04:00,438,3.5,3.7,3.7,3.7,0.17,0.0,46,0,21.93,67.2,12,992.37,174,1,1,56,56,71
31-Oct-2024 01:24:00-04:00,438,3.5,3.7,3.7,3.7,0.17,0.0,46,0,21.91,67.24,12,992.34,175,1,1,56,56,71
31-Oct-2024 01:25:00-04:00,439,3.4,3.6,3.6,3.6,0.17,0.0,46,0,21.9,67.22,12,992.3,176,1,1,56,56,71
31-Oct-2024 01:26:00-04:00,438,3.4,3.6,3.6,3.6,0.17,0.0,46,0,21.9,67.22,12,992.29,177,1,1,56,56,71
31-Oct-2024 01:27:00-04:00,437,3.8,4.0,4.0,4.0,0.17,0.0,47,0,21.9,67.26,12,992.29,178,1,1,56,56,71
31-Oct-2024 01:28:00-04:00,437,3.8,4.1,4.1,4.1,0.18,0.0,46,0,21.89,67.26,12,992.28,178,1,1,56,56,70
31-Oct-2024 01:29:00-04:00,439,3.8,4.1,4.1,4.1,0.18,0.0,47,0,21.89,67.23,12,992.26,178,1,1,56,56,70
31-Oct-2024 01:30:00-04:00,440,3.8,4.1,4.1,4.1,0.18,0.0,47,0,21.89,67.18,12,992.25,179,1,1,56,56,70
31-Oct-2024 01:31:00-04:00,439,3.7,3.9,3.9,3.9,0.18,0.0,47,0,21.88,67.22,12,992.24,180,1,1,56,56,70
31-Oct-2024 01:32:00-04:00,438,3.7,3.9,3.9,3.9,0.18,0.0,47,0,21.88,67.18,12,992.24,181,1,1,56,56,70
31-Oct-2024 01:33:00-04:00,438,3.8,4.0,4.0,4.0,0.18,0.0,47,0,21.88,67.23,12,992.21,182,1,1,56,56,70
31-Oct-2024 01:34:00-04:00,436,3.6,3.9,3.9,3.9,0.18,0.0,47,0,21.88,67.27,12,992.21,182,1,1,56,56,70
31-Oct-2024 01:35:00-04:00,438,4.1,4.4,4.4,4.4,0.18,0.0,47,0,21.88,67.24,12,992.21,183,1,1,56,56,70
31-Oct-2024 01:36:00-04:00,438,3.6,3.8,3.8,3.8,0.18,0.0,47,0,21.88,67.16,12,992.19,183,1,1,56,56,70
31-Oct-2024 01:37:00-04:00,439,3.8,4.0,4.0,4.0,0.18,0.0,46,0,21.87,67.17,12,992.18,184,1,1,56,56,70
31-Oct-2024 01:38:00-04:00,439,3.6,3.8,3.8,3.8,0.18,0.0,47,0,21.87,67.21,12,992.15,184,1,1,56,56,70
31-Oct-2024 01:39:00-04:00,438,3.6,3.8,3.8,3.8,0.18,0.0,46,0,21.86,67.22,12,992.16,185,1,1,56,56,70
31-Oct-2024 01:40:00-04:00,438,3.8,4.0,4.0,4.0,0.19,0.0,46,0,21.87,67.13,12,992.14,188,1,1,56,56,69
31-Oct-2024 01:41:00-04:00,440,3.7,3.9,3.9,3.9,0.19,0.0,46,0,21.88,67.12,12,992.16,191,1,1,56,56,69
31-Oct-2024 01:42:00-04:00,439,3.5,3.7,3.7,3.7,0.19,0.0,46,0,21.88,67.1,12,992.13,192,1,1,56,56,69
31-Oct-2024 01:43:00-04:00,441,3.3,3.5,3.5,3.5,0.19,0.0,46,0,21.88,67.09,12,992.16,193,1,1,56,56,69
31-Oct-2024 01:44:00-04:00,441,3.3,3.5,3.5,3.5,0.19,0.0,46,0,21.88,67.07,12,992.12,195,1,1,56,56,69
31-Oct-2024 01:45:00-04:00,439,3.5,3.7,3.7,3.7,0.2,0.0,46,0,21.89,67.03,12,992.13,197,1,1,56,56,68
31-Oct-2024 01:46:00-04:00,438,3.6,3.8,3.8,3.8,0.2,0.0,46,0,21.9,67.01,12,992.12,199,1,1,56,56,68
31-Oct-2024 01:47:00-04:00,438,3.5,3.7,3.7,3.7,0.2,0.0,46,0,21.9,67.08,12,992.12,199,1,1,56,56,68
31-Oct-2024 01:48:00-04:00,437,3.6,3.8,3.8,3.8,0.2,0.0,46,0,21.9,67.04,12,992.12,198,1,1,56,56,68
31-Oct-2024 01:49:00-04:00,434,4.0,4.2,4.2,4.2,0.2,0.0,46,0,21.9,66.99,12,992.1,199,1,1,57,57,68
31-Oct-2024 01:50:00-04:00,434,3.5,3.7,3.7,3.7,0.2,0.0,46,0,21.91,66.96,12,992.11,201,1,1,57,57,68
31-Oct-2024 01:51:00-04:00,433,3.3,3.5,3.5,3.5,0.2,0.0,46,0,21.91,67.03,12,992.1,202,1,1,56,56,68
31-Oct-2024 01:52:00-04:00,434,3.3,3.5,3.5,3.5,0.21,0.0,46,0,21.91,66.99,12,992.06,202,1,1,57,57,67
31-Oct-2024 01:53:00-04:00,435,3.7,3.9,3.9,3.9,0.21,0.0,46,0,21.92,66.96,12,992.06,203,1,1,57,57,67
31-Oct-2024 01:54:00-04:00,435,3.1,3.3,3.3,3.3,0.21,0.0,46,0,21.93,67.05,12,992.06,203,1,1,56,56,67
31-Oct-2024 01:55:00-04:00,436,3.3,3.5,3.5,3.5,0.21,0.0,46,0,21.93,67.04,12,992.04,203,1,1,56,56,67
31-Oct-2024 01:56:00-04:00,436,3.3,3.5,3.5,3.5,0.21,0.0,47,0,21.93,67.0,12,992.03,202,1,1,56,56,67
31-Oct-2024 01:57:00-04:00,436,3.4,3.6,3.6,3.6,0.21,0.0,46,0,21.93,67.02,12,992.04,202,1,1,56,56,67
31-Oct-2024 01:58:00-04:00,435,3.7,3.9,3.9,3.9,0.21,0.0,46,0,21.93,67.01,12,992.03,202,1,1,56,56,67
31-Oct-2024 01:59:00-04:00,437,3.5,3.7,3.7,3.7,0.21,0.0,46,0,21.92,67.01,12,992.04,202,1,1,56,56,67
31-Oct-2024 02:00:00-04:00,438,3.4,3.6,3.6,3.6,0.21,0.0,46,0,21.92,66.97,12,992.04,202,1,1,57,57,67
31-Oct-2024 02:01:00-04:00,439,3.4,3.6,3.6,3.6,0.21,0.0,46,0,21.93,66.96,12,992.03,204,1,1,57,57,67
31-Oct-2024 02:02:00-04:00,438,3.5,3.7,3.7,3.7,0.21,0.0,46,0,21.93,67.02,12,992.0,204,1,1,56,56,67
31-Oct-2024 02:03:00-04:00,435,3.2,3.4,3.4,3.4,0.21,0.0,46,0,21.93,67.04,12,992.0,204,1,1,56,56,67
31-Oct-2024 02:04:00-04:00,436,3.4,3.6,3.6,3.6,0.21,0.0,45,0,21.93,66.99,12,992.02,204,1,1,57,57,67
31-Oct-2024 02:05:00-04:00,436,3.3,3.5,3.5,3.5,0.21,0.0,45,0,21.92,67.04,12,992.04,204,1,1,56,56,67
31-Oct-2024 02:06:00-04:00,434,3.5,3.7,3.7,3.7,0.21,0.0,46,0,21.92,66.98,12,992.05,204,1,1,57,57,67
31-Oct-2024 02:07:00-04:00,435,3.2,3.4,3.4,3.4,0.21,0.0,46,0,21.93,67.01,12,992.07,205,1,1,56,56,67
31-Oct-2024 02:08:00-04:00,435,3.2,3.4,3.4,3.4,0.21,0.0,46,0,21.94,67.08,12,992.08,205,1,1,56,56,67
31-Oct-2024 02:09:00-04:00,436,3.2,3.4,3.4,3.4,0.21,0.0,46,0,21.94,67.1,12,992.07,205,1,1,56,56,67
31-Oct-2024 02:10:00-04:00,438,3.4,3.6,3.6,3.6,0.21,0.0,46,0,21.93,67.07,12,992.08,205,1,1,56,56,67
31-Oct-2024 02:11:00-04:00,439,3.1,3.3,3.3,3.3,0.21,0.0,46,0,21.94,66.96,12,992.05,205,1,1,57,57,67
31-Oct-2024 02:12:00-04:00,439,3.4,3.5,3.5,3.5,0.21,0.0,45,0,21.94,66.98,12,992.06,207,1,1,57,57,67
31-Oct-2024 02:13:00-04:00,437,3.5,3.7,3.7,3.7,0.21,0.0,45,0,21.94,67.04,12,992.04,208,1,1,56,56,67
31-Oct-2024 02:14:00-04:00,436,2.9,3.1,3.1,3.1,0.21,0.0,45,0,21.94,67.06,12,992.03,209,1,1,56,56,67
31-Oct-2024 02:15:00-04:00,435,3.3,3.5,3.5,3.5,0.22,0.0,46,0,21.93,67.1,12,992.04,209,1,1,56,56,66
31-Oct-2024 02:16:00-04:00,435,3.3,3.5,3.5,3.5,0.21,0.0,46,0,21.93,67.17,12,992.03,209,1,1,56,56,67
31-Oct-2024 02:17:00-04:00,436,3.1,3.2,3.2,3.2,0.21,0.0,46,0,21.93,67.1,12,992.05,208,1,1,56,56,67
31-Oct-2024 02:18:00-04:00,436,3.3,3.5,3.5,3.5,0.21,0.0,46,0,21.92,67.09,12,992.05,208,1,1,56,56,67
31-Oct-2024 02:19:00-04:00,438,3.6,3.8,3.8,3.8,0.21,0.0,46,0,21.92,67.08,12,992.03,208,1,1,56,56,67
31-Oct-2024 02:20:00-04:00,436,2.8,3.0,3.0,3.0,0.21,0.0,45,0,21.93,67.02,12,992.02,210,1,1,56,56,67
31-Oct-2024 02:21:00-04:00,435,3.3,3.5,3.5,3.5,0.22,0.0,45,0,21.92,67.01,12,992.03,212,1,1,56,56,66
31-Oct-2024 02:22:00-04:00,436,3.2,3.4,3.4,3.4,0.22,0.0,46,0,21.93,67.1,12,992.07,212,1,1,56,56,66
31-Oct-2024 02:23:00-04:00,436,3.3,3.5,3.5,3.5,0.22,0.0,46,0,21.93,67.14,12,992.11,212,1,1,56,56,66
31-Oct-2024 02:24:00-04:00,435,3.4,3.6,3.6,3.6,0.22,0.0,46,0,21.93,67.16,12,992.16,212,1,1,56,56,66
31-Oct-2024 02:25:00-04:00,433,3.2,3.4,3.4,3.4,0.22,0.0,46,0,21.93,67.16,12,992.18,211,1,1,56,56,66
31-Oct-2024 02:26:00-04:00,432,3.3,3.5,3.5,3.5,0.22,0.0,46,0,21.93,67.15,12,992.14,211,1,1,56,56,66
31-Oct-2024 02:27:00-04:00,435,3.3,3.5,3.5,3.5,0.22,0.0,46,0,21.93,67.03,12,992.1,211,1,1,56,56,66
31-Oct-2024 02:28:00-04:00,439,3.4,3.6,3.6,3.6,0.22,0.0,46,0,21.93,67.03,12,992.05,214,1,1,56,56,66
31-Oct-2024 02:29:00-04:00,438,3.0,3.1,3.1,3.1,0.22,0.0,46,0,21.95,67.06,12,992.01,215,1,1,56,56,66
31-Oct-2024 02:30:00-04:00,439,3.0,3.2,3.2,3.2,0.22,0.0,46,0,21.95,67.15,12,991.97,215,1,1,56,56,66
