"dtm","co2, ppm","pm1, μg/m³","pm4, μg/m³","pm10, μg/m³","pm25, μg/m³","voc, ppm","ch2o, ppm","noise, db","light, lux","temperature, °C","humidity, %","abs_humidity, g/m³","pressure, mbar","vocindex","noxindex","avti","eiaqi","tci","iaqi"
31-Oct-2024 00:00:00-04:00,477,3.9,4.1,4.1,4.1,0.1,0.01,49,0,22.49,64.5,12,992.55,112,1,1,62,62,79
31-Oct-2024 00:01:00-04:00,477,3.8,4.1,4.1,4.1,0.1,0.01,49,0,22.48,64.54,12,992.55,113,1,1,62,62,79
31-Oct-2024 00:02:00-04:00,476,3.9,4.1,4.1,4.1,0.11,0.01,49,0,22.46,64.55,12,992.54,113,1,1,62,62,78
31-Oct-2024 00:03:00-04:00,474,3.5,3.7,3.7,3.7,0.11,0.01,49,0,22.45,64.63,12,992.52,113,1,1,62,62,78
31-Oct-2024 00:04:00-04:00,476,4.0,4.2,4.2,4.2,0.11,0.01,49,0,22.42,64.73,12,992.52,113,1,1,61,61,78
31-Oct-2024 00:05:00-04:00,477,3.7,3.9,3.9,3.9,0.11,0.01,49,0,22.4,64.81,12,992.53,113,1,1,61,61,78
31-Oct-2024 00:06:00-04:00,476,3.7,3.9,3.9,3.9,0.1,0.01,49,0,22.4,64.8,12,992.51,113,1,1,61,61,79
31-Oct-2024 00:07:00-04:00,476,3.4,3.6,3.6,3.6,0.1,0.01,49,0,22.4,64.84,12,992.49,112,1,1,61,61,79
31-Oct-2024 00:08:00-04:00,474,3.8,4.0,4.0,4.0,0.1,0.01,49,0,22.39,64.9,12,992.5,112,1,1,61,61,79
31-Oct-2024 00:09:00-04:00,473,4.0,4.3,4.3,4.3,0.1,0.01,49,0,22.38,64.92,12,992.51,112,1,1,61,61,79
31-Oct-2024 00:10:00-04:00,472,3.6,3.8,3.8,3.8,0.1,0.01,49,0,22.37,64.97,12,992.51,112,1,1,61,61,79
31-Oct-2024 00:11:00-04:00,471,3.6,3.8,3.8,3.8,0.1,0.01,49,0,22.36,65.05,12,992.49,112,1,1,61,61,79
31-Oct-2024 00:12:00-04:00,470,3.9,4.2,4.2,4.2,0.1,0.01,49,0,22.36,65.01,12,992.49,111,1,1,61,61,79
31-Oct-2024 00:13:00-04:00,470,3.5,3.7,3.7,3.7,0.1,0.01,49,0,22.36,64.97,12,992.5,111,1,1,61,61,79
31-Oct-2024 00:14:00-04:00,470,3.9,4.1,4.1,4.1,0.1,0.01,49,0,22.36,64.97,12,992.51,111,1,1,61,61,79
31-Oct-2024 00:15:00-04:00,470,3.6,3.8,3.8,3.8,0.1,0.01,49,0,22.36,65.02,12,992.48,111,1,1,61,61,79
31-Oct-2024 00:16:00-04:00,466,3.4,3.6,3.6,3.6,0.1,0.01,49,0,22.35,65.03,12,992.5,111,1,1,61,61,79
31-Oct-2024 00:17:00-04:00,468,3.5,3.7,3.7,3.7,0.1,0.01,49,0,22.33,65.1,12,992.49,111,1,1,60,60,79
31-Oct-2024 00:18:00-04:00,468,3.3,3.5,3.5,3.5,0.1,0.01,49,0,22.32,65.16,12,992.5,111,1,1,60,60,79
31-Oct-2024 00:19:00-04:00,467,3.5,3.7,3.7,3.7,0.1,0.01,49,0,22.31,65.17,12,992.5,111,1,1,60,60,79
31-Oct-2024 00:20:00-04:00,468,3.4,3.6,3.6,3.6,0.1,0.01,49,0,22.31,65.18,12,992.52,110,1,1,60,60,79
31-Oct-2024 00:21:00-04:00,468,3.5,3.8,3.8,3.8,0.1,0.01,49,0,22.31,65.21,12,992.5,110,1,1,60,60,79
31-Oct-2024 00:22:00-04:00,468,3.4,3.6,3.6,3.6,0.1,0.01,49,0,22.29,65.23,12,992.48,110,1,1,60,60,79
31-Oct-2024 00:23:00-04:00,469,3.5,3.7,3.7,3.7,0.1,0.01,49,0,22.29,65.27,12,992.48,110,1,1,60,60,79
31-Oct-2024 00:24:00-04:00,468,3.9,4.1,4.1,4.1,0.1,0.01,49,0,22.28,65.26,12,992.48,110,1,1,60,60,79
31-Oct-2024 00:25:00-04:00,466,3.6,3.8,3.8,3.8,0.1,0.01,49,0,22.27,65.32,12,992.48,110,1,1,60,60,79
31-Oct-2024 00:26:00-04:00,466,2.9,3.1,3.1,3.1,0.1,0.01,49,0,22.26,65.35,12,992.47,109,1,1,60,60,79
31-Oct-2024 00:27:00-04:00,468,3.8,4.0,4.0,4.0,0.1,0.01,49,0,22.26,65.35,12,992.45,109,1,1,60,60,79
31-Oct-2024 00:28:00-04:00,467,3.5,3.7,3.7,3.7,0.1,0.01,49,0,22.25,65.35,12,992.48,109,1,1,60,60,79
31-Oct-2024 00:29:00-04:00,468,3.6,3.8,3.8,3.8,0.1,0.01,49,0,22.25,65.37,12,992.45,109,1,1,60,60,79
31-Oct-2024 00:30:00-04:00,467,3.2,3.4,3.4,3.4,0.1,0.01,48,0,22.25,65.34,12,992.46,109,1,1,60,60,79
31-Oct-2024 00:31:00-04:00,464,3.5,3.7,3.7,3.7,0.1,0.01,49,0,22.24,65.36,12,992.46,109,1,1,60,60,79
31-Oct-2024 00:32:00-04:00,463,3.5,3.7,3.7,3.7,0.1,0.01,49,0,22.23,65.38,12,992.5,109,1,1,60,60,79
31-Oct-2024 00:33:00-04:00,463,3.4,3.6,3.6,3.6,0.1,0.01,49,0,22.22,65.41,12,992.53,109,1,1,59,59,79
31-Oct-2024 00:34:00-04:00,463,3.4,3.6,3.6,3.6,0.1,0.01,48,0,22.21,65.44,12,992.51,109,1,1,59,59,79
31-Oct-2024 00:35:00-04:00,462,3.3,3.5,3.5,3.5,0.1,0.01,48,0,22.21,65.41,12,992.53,108,1,1,59,59,79
31-Oct-2024 00:36:00-04:00,462,3.4,3.6,3.6,3.6,0.1,0.01,49,0,22.21,65.42,12,992.54,108,1,1,59,59,79
31-Oct-2024 00:37:00-04:00,462,3.5,3.7,3.7,3.7,0.1,0.0,49,0,22.22,65.42,12,992.52,108,1,1,59,59,79
31-Oct-2024 00:38:00-04:00,460,3.6,3.8,3.8,3.8,0.1,0.01,49,0,22.22,65.42,12,992.51,108,1,1,59,59,79
31-Oct-2024 00:39:00-04:00,460,2.9,3.1,3.1,3.1,0.1,0.01,49,0,22.22,65.38,12,992.51,108,1,1,60,60,79
31-Oct-2024 00:40:00-04:00,459,3.3,3.5,3.5,3.5,0.1,0.01,49,0,22.22,65.38,12,992.53,108,1,1,60,60,79
31-Oct-2024 00:41:00-04:00,459,3.2,3.4,3.4,3.4,0.1,0.01,49,0,22.23,65.37,12,992.51,108,1,1,60,60,79
31-Oct-2024 00:42:00-04:00,460,3.0,3.2,3.2,3.2,0.1,0.01,49,0,22.22,65.37,12,992.49,108,1,1,60,60,79
31-Oct-2024 00:43:00-04:00,461,3.4,3.6,3.6,3.6,0.1,0.01,49,0,22.21,65.44,12,992.49,108,1,1,59,59,79
31-Oct-2024 00:44:00-04:00,462,3.4,3.6,3.6,3.6,0.1,0.01,49,0,22.22,65.37,12,992.45,108,1,1,60,60,79
31-Oct-2024 00:45:00-04:00,461,3.6,3.8,3.8,3.8,0.1,0.01,49,0,22.22,65.38,12,992.46,108,1,1,60,60,79
31-Oct-2024 00:46:00-04:00,459,3.9,4.1,4.1,4.1,0.1,0.01,49,0,22.23,65.42,12,992.45,108,1,1,59,59,79
31-Oct-2024 00:47:00-04:00,459,3.4,3.7,3.7,3.7,0.1,0.01,49,0,22.25,65.5,12,992.45,108,1,1,59,59,79
31-Oct-2024 00:48:00-04:00,461,3.3,3.5,3.5,3.5,0.1,0.01,49,0,22.26,65.49,12,992.45,109,1,1,59,59,79
31-Oct-2024 00:49:00-04:00,460,3.3,3.5,3.5,3.5,0.1,0.01,49,0,22.25,65.51,12,992.42,109,1,1,59,59,79
31-Oct-2024 00:50:00-04:00,458,3.2,3.4,3.4,3.4,0.1,0.01,49,0,22.24,65.52,12,992.43,109,1,1,59,59,79
31-Oct-2024 00:51:00-04:00,458,3.5,3.7,3.7,3.7,0.1,0.01,49,0,22.24,65.55,12,992.45,109,1,1,59,59,79
31-Oct-2024 00:52:00-04:00,457,3.1,3.3,3.3,3.3,0.1,0.01,49,0,22.26,65.56,12,992.44,109,1,1,59,59,79
31-Oct-2024 00:53:00-04:00,455,3.3,3.5,3.5,3.5,0.1,0.01,49,0,22.28,65.55,12,992.45,110,1,1,59,59,79
31-Oct-2024 00:54:00-04:00,457,3.5,3.7,3.7,3.7,0.1,0.01,49,0,22.29,65.59,12,992.44,110,1,1,59,59,79
31-Oct-2024 00:55:00-04:00,459,3.2,3.4,3.4,3.4,0.1,0.01,49,0,22.3,65.54,12,992.46,110,1,1,59,59,79
31-Oct-2024 00:56:00-04:00,458,3.2,3.4,3.4,3.4,0.1,0.01,49,0,22.33,65.45,12,992.46,110,1,1,59,59,79
31-Oct-2024 00:57:00-04:00,458,3.2,3.4,3.4,3.4,0.1,0.01,49,0,22.37,65.37,12,992.44,111,1,1,60,60,79
31-Oct-2024 00:58:00-04:00,457,3.3,3.5,3.5,3.5,0.1,0.01,49,0,22.4,65.22,12,992.45,111,1,1,60,60,79
31-Oct-2024 00:59:00-04:00,455,3.3,3.5,3.5,3.5,0.1,0.01,49,0,22.43,65.07,12,992.44,111,1,1,61,61,79
31-Oct-2024 01:00:00-04:00,455,3.5,3.7,3.7,3.7,0.1,0.01,49,0,22.45,64.98,12,992.43,112,1,1,61,61,79
